ticker
AAPL
MSFT
AMZN
GOOGL
META
NVDA
BRK.B
JPM
JNJ
V
PG
HD
MA
XOM
CVX
AVGO
COST
ABBV
PFE
PEP
KO
BAC
WMT
DIS
NFLX
TSLA
INTC
AMD
ORCL
IBM
QCOM
UNH
LLY
ADBE
CRM
T
CSCO
NKE
MCD
GE
CAT
UPS
BA
MMM
TMO
LIN
AXP
GS
BK
USB
