ticker
AAPL
MSFT
GOOGL
AMZN
META
NVDA
TSLA
BRK-B
JPM
JNJ
V
PG
MA
HD
XOM
CVX
BAC
PFE
PEP
KO
ABBV
AVGO
COST
DIS
CSCO
WMT
ADBE
CRM
MRK
INTC
